거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,수송동,오피스텔,588.9445109345329
2014,1Q,수유동,단독다가구,327.2233105311293
2014,1Q,수유동,아파트,338.3852866754324
2014,1Q,수유동,연립다세대,287.05889166665725
2014,1Q,수유동,오피스텔,364.24219594910807
2014,1Q,순화동,아파트,681.77141586751
2014,1Q,숭인동,단독다가구,415.6240416252267
2014,1Q,숭인동,아파트,550.2359014686197
2014,1Q,숭인동,연립다세대,387.9488177462683
2014,1Q,숭인동,오피스텔,505.1827742770607
2014,1Q,시흥동,단독다가구,339.47149176380714
2014,1Q,시흥동,아파트,378.84306368861377
2014,1Q,시흥동,연립다세대,349.4910091971945
2014,1Q,시흥동,오피스텔,563.3289279764194
2014,1Q,신계동,아파트,807.2296511127222
2014,1Q,신공덕동,단독다가구,224.08963585434174
2014,1Q,신공덕동,아파트,712.1666251951661
2014,1Q,신공덕동,오피스텔,650.027118527991
2014,1Q,신교동,아파트,595.3784484791323
2014,1Q,신교동,연립다세대,460.9963266258843
2014,1Q,신길동,단독다가구,375.67831296428176
2014,1Q,신길동,아파트,509.9260587497336
2014,1Q,신길동,연립다세대,462.2005614341811
2014,1Q,신길동,오피스텔,499.5340978361267
2014,1Q,신내동,단독다가구,299.194127392876
2014,1Q,신내동,아파트,388.5009328856405
2014,1Q,신내동,연립다세대,305.3649493077939
2014,1Q,신내동,오피스텔,374.1530990665939
2014,1Q,신당동,단독다가구,546.0760234127413
2014,1Q,신당동,아파트,588.8763287473834
2014,1Q,신당동,연립다세대,445.32702200000665
2014,1Q,신당동,오피스텔,1153.2239016951758
2014,1Q,신대방동,단독다가구,348.76621122436984
2014,1Q,신대방동,아파트,546.1237084206089
2014,1Q,신대방동,연립다세대,403.81558398788513
2014,1Q,신대방동,오피스텔,399.03221820298364
2014,1Q,신도림동,단독다가구,445.91373875605444
2014,1Q,신도림동,아파트,552.0788101724646
2014,1Q,신도림동,연립다세대,434.42622950819674
